name,kind,rows_in,rows_out,started_at,duration_s,status,error_msg
drivers,extract,150,150,2026-05-30T08:34:13,0.0,ok,
trucks,extract,120,120,2026-05-30T08:34:13,0.0,ok,
trailers,extract,180,180,2026-05-30T08:34:13,0.0,ok,
customers,extract,200,200,2026-05-30T08:34:13,0.0,ok,
facilities,extract,50,50,2026-05-30T08:34:13,0.0,ok,
routes,extract,58,58,2026-05-30T08:34:13,0.0,ok,
loads,extract,85410,85410,2026-05-30T08:34:13,0.005,ok,
trips,extract,85410,85410,2026-05-30T08:34:13,0.004,ok,
delivery_events,extract,170820,170820,2026-05-30T08:34:13,0.013,ok,
fuel_purchases,extract,196442,196442,2026-05-30T08:34:13,0.01,ok,
dim_date,transform,0,1127,2026-05-30T08:34:13,0.01,ok,
dim_drivers,transform,150,151,2026-05-30T08:34:13,0.004,ok,
dim_trucks,transform,120,121,2026-05-30T08:34:13,0.003,ok,
dim_trailer,transform,180,181,2026-05-30T08:34:13,0.004,ok,
dim_customer,transform,200,200,2026-05-30T08:34:13,0.002,ok,
dim_facilities,transform,50,50,2026-05-30T08:34:13,0.003,ok,
dim_routes,transform,58,58,2026-05-30T08:34:13,0.007,ok,
dim_loads,transform,85410,85410,2026-05-30T08:34:13,0.025,ok,
fact_trips,transform,85410,85410,2026-05-30T08:34:13,1.507,ok,
dim_date,load,1127,1127,2026-05-30T08:34:15,0.005,ok,
dim_drivers,load,151,151,2026-05-30T08:34:15,0.002,ok,
dim_trucks,load,121,121,2026-05-30T08:34:15,0.002,ok,
dim_trailer,load,181,181,2026-05-30T08:34:15,0.001,ok,
dim_customer,load,200,200,2026-05-30T08:34:15,0.002,ok,
dim_facilities,load,50,50,2026-05-30T08:34:15,0.001,ok,
dim_routes,load,58,58,2026-05-30T08:34:15,0.001,ok,
dim_loads,load,85410,85410,2026-05-30T08:34:15,0.117,ok,
fact_trips,load,85410,85410,2026-05-30T08:34:15,2.016,ok,
